appid,genres,is_free,name,release_date,reviews,sentiment_score,short_description,type
212500,"Action, Adventure, Massively Multiplayer, RPG, Free To Play",True,The Lord of the Rings Online™,"6 Jun, 2012","Да a little old and dated in the looks and battle system, but still alot of fun. great community and if you are a fan of tolkien lore, a must play Played this game for year and now over the past year this game is getting better.  Would recommend it to anyone who loves Tolkien or MMOs in general.",1.0,Join the world’s greatest fellowship of players in the award-winning online re-creation of J. R. R. Tolkien’s legendary Middle-earth.,game
1293830,Racing,False,Forza Horizon 4,"9 Mar, 2021",nice RACING good game,1.0,Dynamic seasons change everything at the world’s greatest automotive festival. Go it alone or team up with others to explore beautiful and historic Britain in a shared open world.,game
237930,"Action, Indie, RPG",False,Transistor,"20 May, 2014","Interesting mechanic, good soundtrack. Gameplay can get repetitive if you find a broken build I guess my main mistake was playing this after Hades 1, 2 and Pyre(which I adore). Besides the audiovisual experience I was left disappointed. I expected... More. Story felt barebones at best, combat while being interesting at first glance, fell into the same-y boring encounters one after another. Exploration felt nonexistent in a game that seemed perfect for it - you know, alone in a big deserted city. And while others love the ending, I couldn't help but eye roll. Such a shame. booo!!! Great ending but oh gosh that hurt.",0.6,"Discover the world of Transistor, a sci-fi-themed action RPG from the creators of Bastion.",game
444090,"Action, Adventure, Massively Multiplayer, Strategy, Free To Play",True,Paladins®,"8 May, 2018","Worse account management I have seen... 

Lost all my stuff even tho I play with Steam and Hi-Rez can't do anything about it The Game had it's time to shine which was incredible to witness, but also had it's glorious downfall, it arguably has the best character design out of all hero shooter type of games, cool mechanics and outside the match gameplay activities like builing a deck straight for a single champions talent, it's very sad to watch such an underrated game slowly perish before our very eyes but anyone wondering wether or not they should try it before it's gone, you most definitley should although nowdays the wait times and cheaters are slowly killing the joy. it's the bestest , too bad its dying.",0.3333333333333333,"Paladins is the ultimate fantasy team-based shooter experience, with over 50 customizable Champions fighting in 5v5 action across a diverse Realm of modes and maps!",game
6860,Action,False,Hitman: Blood Money,"15 Mar, 2007","Agent 47? More like Agent 67...... Please laugh.... goated. Such a  masterpiece i ever played. This and hitman 2 silent assasin  are the greatest hitman i ever played. so wonderful story, sounddtract etc.",1.0,"Money Talks. Silence Pays. Prepare to Make a Killing. When assassins from Agent 47's contract agency, The ICA, are eliminated in a series of hits, it seems a larger, more powerful agency has entered the fray. Sensing he may be a target, 47 travels to America, and prepares to make a killing.",game
6910,Action,False,Deus Ex: Game of the Year Edition,"29 Mar, 2007","Game so good it needs a ""misinformation"" tag from wikipedia My wife said if this review gets 50 likes and 5 awards, she will buy a case of beer, guys help me out.
 one of the best if not the best game, I have ever played



Also: ""Why are you locked in the bathroom?""",1.0,"The year is 2052 and the world is a dangerous and chaotic place. Terrorists operate openly - killing thousands; drugs, disease and pollution kill even more. The world's economies are close to collapse and the gap between the insanely wealthy and the desperately poor grows ever wider.",game
893520,"Action, Adventure, Casual, Massively Multiplayer",False,Creative Destruction,"2 Aug, 2018",most amazing game ive ever come across please bring it back rest in peace when do i get my money back for the skins pal,0.0,Welcome to the world of Creative Destruction where everything is fully destructible! Creative Destruction is a new FPS/TPS sandbox survival game that features the utmost fun of building and firing.,game
673950,"Casual, Indie, Simulation",False,Farm Together,"11 Oct, 2018","the game play is easy and the more friends you have to help and in turn you can help them game nung lam was a very cute little faring game. and it's nice that as you level up and get the higher yielding crops, this CAN be played as an idle ""check on my plants for 15-30 minutes a day"" kind of game if you choose to play it that way. :)",0.0,"Grow your own farm all by yourself, or cooperate with your friends in this unique, relaxing farming experience!",game
3164500,"Action, Indie, Simulation, Strategy, Early Access",False,Schedule I,"24 Mar, 2025","Good Game its amazing and funny with friends
 Good",1.0,"From small-time dope pusher to kingpin - manufacture and distribute a range of drugs throughout the grungy city of Hyland Point. Expand your empire with properties, businesses, employees and more.",game
617290,"Action, Adventure, RPG",False,Remnant: From the Ashes,"19 Aug, 2019","The main feature that makes this games shines is that you can fully play coop with up to 2 friends. ( you can really invite a friend directly without too much complications)

It's a gunfighting version of a soul-like with all the usual tropes. Good game
 A fun souls-like shooter. The highlight of the game is the bosses, they are very well designed and fun to beat, but the areas in between boss fights feel like fillers, bloated with enemies. The visual variety between areas is, however, appreciated.

I'd recommend playing with friends, but solo is perfectly fine, too. The game offers plenty of build options and rewards teamwork.",1.0,"The world has been thrown into chaos by an ancient evil from another dimension. As one of the last remnants of humanity, you must set out alone or alongside up to two other survivors to face down hordes of deadly enemies to try to carve a foothold, rebuild, and retake what was lost.",game
673130,"Action, Adventure, Indie",False,AMID EVIL,"20 Jun, 2019","Amazing game overall. The level design and atmosphere are nuts! Hell yeah, Best Game ever if I could rate it a ♾️/10 I would flying cheat is a cake on top definitely buy this game.
 The big retro shooter revival started with this game and Dusk and has kinda died down now I guess, but this is still a ton of fun, even if it feels a little simplistic at times. DLC is great too.",1.0,A retro FPS for the ages! Once branded a HERETIC. Now YOU have been chosen as our champion! Reclaim our sacred weapons. Take back our ancient lands. If you can stand... AMID EVIL.,game
2622380,"Action, RPG",False,ELDEN RING NIGHTREIGN,"29 May, 2025",Depth of night has made me go insane  i gooned every parries,0.0,"ELDEN RING NIGHTREIGN is a standalone adventure within the ELDEN RING universe, crafted to offer players a new gaming experience by reimagining the game’s core design.",game
265930,"Casual, Indie, Simulation",False,Goat Simulator,"1 Apr, 2014","tuff game + childhood game + goats + yes Its not a big game, once you see all the locations and refernces there is not much point to come back. Fun for a little while This game is amazing.",1.0,Goat Simulator is the latest in high-tech Goat Simulation technology.,game
282140,"Action, Adventure, Indie",False,SOMA,"21 Sep, 2015","Almost perfect. Extremely thorough in lore, story, and making one feel as guilty as possible for existing in a body that's not theirs. The entire concept of fighting so hard to keep humanity alive when nobody is human anymore made me go into existential thought, lol. The scares were subtle, but they built up more tension than jumpscares - and that pleased me a lot. My only gripe about the game is feeling the need to include the epilogue. Being left in the dark as the final ending for the Simon WE are playing the entire game made me have to sit with my feelings and realize our fate was so dark. BUT, even still - so amazing. If you're a lover of the sci-fi horror genre and want some seriously mind-f*cked concepts and ideas in your game - PLAY THIS!

By the way if you read this before Jan. 5th of 2026 then you can get the game for 7.49 USD :) 

Gameplay-
☐ Very good
☑  Good
☐ Nothing special
☐ Okay
☐ Bad

Graphics-
☐ Masterpiece
☐ Beautiful
☑ Good
☐ Will do
☐ Bad
☐ Awful

Audio
☐ Amazing
☑ Very good
☐ Good
☐ Decent
☐ Not too bad
☐ Bad

Audience
☐ Kids
☐ Teens
☑ Adults
☐ Everyone

Story-
☑  Lovely
☐ Good
☐ Average
☐ Not great
☐ None

Difficult-
☐ Just press a bunch of buttons
☑ Easy
☐ Significant brain usage
☐ Easy to learn / Hard to master
☐ Not so easy
☐ Difficult
☐ Dark Souls

Grind-
☐ Nothing
☐ Only if you care about leaderboards/ranks
☑ Isnt necessary to progress
☐ A bit grindy sometimes
☐ Average grind level
☐ Too much grind
☐ Insanity

Game Time-
☐ Short
☑ Average
☐ Long
☐ Depends on you
☐ Endless

Price
☐ Just buy it
☑ Worth the price -
☑ Wait for sale - I say both on this because it IS worth the price but isn't a MUST BUY at full price - I always recommend waiting for sale. 
☐ Maybe if you have some spare money left
☐ Not recommended + Got it during a sale and went in blind. It’s an incredible story, must play imo. Playing on Steam deck, runs perfectly on it.",0.2857142857142857,"From the creators of Amnesia: The Dark Descent comes SOMA, a sci-fi horror game set below the waves of the Atlantic ocean. Struggle to survive a hostile world that will make you question your very existence.",game
1184370,"Action, Adventure, Indie, RPG, Strategy",False,Pathfinder: Wrath of the Righteous - Enhanced Edition,"Sep 2, 2021","very good I put 50+ hours into this game and was largely enjoying it. There was enough that I really liked (e.g., a diverse array of class options, challenging encounters that required adaptation, etc.) that it was worth playing around some of the standing bugs that I ran into (e.g., in combat, sometimes having my healer waste their action because they didn't automatically move as part of the spell casting). 

Then I hit a game ending bug, also apparently a standing issue - the game stopped recognizing all keyboard controls. The usual fix didn't do the trick. I tried putting all the essential controls on my mouse, but then the game stopped recognizing those as well. And that was the end of my playthrough... as well as the end of my patience with Owlcat. 

I gave Pathfinder WotR a chance after also hitting a game ending bug on Kingmaker (after 130+ hours of play). I'm done giving Owclat the benefit of the doubt. They've lost me as player for good.

[spoiler] There is also a point in game when one Woljif, one of the playable companions runs away. Woljif was part of my main party, so I lost access to all of the items Woljif had equipped and had to rebalance my entire party. The game broke for me shortly after this, so I looked up whether Woljif comes back. The answer is apparently yes, but after a prolonged absence (i.e., you would have to redistribute items and rebalance the party again, after having to invest effort into building a companion you don't intend to stick with). I have no idea why they thought this was a remotely good idea. It doesn't add anything, other than frustration. [/spoiler] What a game! 

I finished my first playthrough and immediately started the second. 
Story, companions, extra fun with Mythic paths - such a step up from Kingmaker. 

Daeran is probably my favourite romance option among all the RPGs I've played; he's so beautifully written. 
Regill is an absolute sweetheart. 

The only downside of the game for me was crusade mode, but it's easy to overcome once you figure out how everything works. 

Easily one of the best RPGs out there.",1.0,"Embark on a journey to a realm overrun by demons in a new epic RPG from the creators of the critically acclaimed Pathfinder: Kingmaker. Explore the nature of good and evil, learn the true cost of power, and rise as a Mythic Hero capable of deeds beyond mortal expectations.",game
504370,"Action, Free To Play",True,Battlerite,"8 Nov, 2017","still the best The best combat system I've seen Thanks for trying bloodline champions again, Stunlock. This went better. it layed the foundation for VRising, i hope one day, we can try it again.

third times the charm

ill be waiting.",1.0,BATTLERITE​ ​is​ ​an​ ​action-packed​ ​team​ ​arena​ ​brawler.​ ​Experience​ ​the​ ​unique​ ​combination​ ​of​ top-down​ ​shooter​ meets​ ​fast-paced​ ​fighting​ ​game and challenge ​friends​ ​and​ foes​ ​in​ ​a​ ​battle​ ​of reaction. The Arena awaits!,game
4570,Strategy,False,"Warhammer 40,000: Dawn of War - Anniversary Edition","7 Aug, 2007","One of the best RTS games ever made. 

In my opinion, it holds up better than command & conquer and the story/setting is fantastic especially if you are a Warhammer 40k fan. My biggest fault of this would be the lack of units and buildings. The best 40k game still till this day. FOR THE EMPEROR!!! 
This game is amazing even after so many years... the campaign was really good too. A nice RTS campaign you don't need to care a lot about resources and the pace was more my style. On other RTSs I had to slow down the game to be able to play, but this one was just right.",1.0,"All of Warhammer 40,000: Dawn of War in one glorious package. Play the genre-defining classic real time strategy game in all its blood-soaked glory, including four complete campaigns and nine full-fledged factions.",game
1213210,Strategy,False,Command & Conquer™ Remastered Collection,"5 Jun, 2020","Quick money grabbing rehash. Nothing of value has been reworked including pathfinding, balance and AI. Not worth it. The Nostalgia of the C&C games and the fantastic remastering combined makes this an enjoyable gaming experience for those that like strategy, military, political gaming Though I only played this game in 2005-ish, it really reminds me of windows-95 and those days, in a good way.",1.0,"Command &amp; Conquer and Red Alert are both remastered in 4K by the former Westwood Studios team members. Includes all 3 expansions, rebuilt multiplayer, a modernized UI, Map Editor, bonus footage gallery, and over 7 hours of remastered music.",game
264710,"Adventure, Indie",False,Subnautica,"23 Jan, 2018",67 the water tastes a lil salty  :( peak,0.0,"Descend into the depths of an alien underwater world filled with wonder and peril. Craft equipment, pilot submarines and out-smart wildlife to explore lush coral reefs, volcanoes, cave systems, and more - all while trying to survive.",game
202750,"Action, Adventure",False,Alan Wake's American Nightmare,"22 May, 2012","It’s a spin-off of the original Alan Wake. In this game, some gameplay aspects are improved compared to Alan Wake 1, but the gameplay becomes very repetitive and gets boring at times. The story isn’t that strong either, it’s pretty average. That said, the weapon variety has increased, which is a nice addition. This is a great follow-up to Alan Wake remastered. It's rather short, but it's worth it if you're invested in the Alan Wake universe. The gameplay is a bit more Rambo-like when compared to Alan Wake 1, but what game isn't? I'm glad I played it. Story didnt really hook me like the main game but it was a fun goofy little experience that I would recommend if your a fan of Alan Wake. Pick this one up when its on sale though.",0.3333333333333333,"A thrilling new storyline, hordes of creepy enemies, serious firepower and beautiful Arizona locations, combined with a fun and challenging new game mode!",game
47830,Action,False,Medal of Honor™,"12 Oct, 2010",One of the best games I've played for years.  The way it seemed almost like real combat where you as the enemy or the good guys can be moving around far away and be mistaken as something else from the camouflage. bf3 and this ughh ifykyk - they have discord where you can still play buy kinda dead why are they selling a game where there are 0 servers available ? game dont work anymore....,1.0,Fight Today's War: Elite Special Forces in a gritty combat campaign using the surgical tactics of Tier 1 Operators combined with the sledgehammer force of Army Rangers.,game
1987080,"Adventure, Indie, Early Access",False,Inside the Backrooms,"20 Jun, 2022","very fun with friends
 pretty fun ngl [h1]Game is pretty good.[/h1]
My cousins and I agree that this one is arguably the best Backrooms game available so far, the reworked levels are definitely better, they feel way less tedious, the environment is a lot more scary and in general the game gives you enough room to breath, making the interactions with entities feel more genuine, instead of them being annoying and frustrating. 

I haven't played the caves level so far, but honestly, whoever ditches the entire game because they didn't like a new map, that was just released, in a game that is EARLY ACCESS, can't be taken seriously.
Let's just say the game is really good in general, maybe not the caves, but the game is great.",1.0,"Inside the Backrooms is a horror multiplayer game mixed with different mechanics that will make you spend an intense night with friends. Explore, think, interact, but be careful, it is rumored that there are several entities wishing to find you...",game
1515950,"Action, Free To Play",True,Capcom Arcade Stadium,"24 May, 2021","That's Great Collection!
I bought some titles per it, But I bought all titles bundle at last.
I hope and hope, next ""Capcom Consumer staduim"" Please Capcom! Classic arcade games that are still fun to play today. I really wanted to like Capcom Arcade Stadium — the idea of having a collection of classic arcade titles all in one place sounds great on paper. Unfortunately, the execution leaves a lot to be desired.

The emulation feels off, with noticeable input lag and inconsistent performance across different games. Even on solid hardware, frame pacing and slowdown issues pop up far too often. The CRT scan line filters are also underwhelming — even at 1440p, they look artificial and don’t capture the authentic arcade look.

It honestly comes across as another quick cash grab rather than a carefully crafted preservation effort. I’ve built PCs with better emulation setups in the past that run these same games smoother and with more accurate visuals.

Not worth my time here. Sorry, Capcom — this one just doesn’t hold up.

Verdict: ★★☆☆☆ (2/5) – Decent concept, poor execution.",0.5,Relive the Capcom classics! Get 1943 -The Battle of Midway- and game logo wallpapers free with your download!,game
972660,"Adventure, Indie, Simulation",False,Spiritfarer®: Farewell Edition,"18 Aug, 2020","I loved the storytelling and peacefulness of this game. Tackles big themes with cute art. [h1] Spiritfarer [/h1]

There are games about death, and then there’s Spiritfarer — a game about saying goodbye, not by fighting or killing, but by walking alongside others until they’re ready to let go.

[hr][/hr]

[h2] What I Loved [/h2]
[b]Spiritfarer is a hand-drawn masterpiece[/b] — yes, its animation is traditionally hand-drawn, frame by frame, and it shows in every movement and expression.

The game gently explores the lives of people who fell ill or suffered accidents, helping them complete what they couldn’t finish in life so they can depart in peace. [b]Emotionally powerful[/b] is an understatement — it had been a long time since a game made me cry like this.

The experience is long, calm, and meant to be savored slowly, truly embracing that [i]cozy[/i] feeling, with a soundtrack that will give you chills.

[hr][/hr]

[h2] What Could Improve [/h2]
Some tasks can become [b]repetitive[/b], especially late-game activities like watering plants or harvesting crops. A bit of automation at that stage would have helped.
A few quests lack clear guidance, and since the map is surprisingly large, this can lead to a lot of aimless wandering before figuring out what you’re missing.

[hr][/hr]

[h2] Final Verdict [/h2]
[b]9/10 — Highly Recommended.[/b]
Spiritfarer is almost perfect: a beautiful, heartfelt journey about life, loss, and closure. Just a couple of small design friction points keep it from being flawless — but the emotional impact more than makes up for it. good game",1.0,"Spiritfarer® is a cozy management game about dying. As ferrymaster to the deceased, build a boat to explore the world, care for your spirit friends, and release them into the afterlife. The Spiritfarer Farewell Edition includes the heartwarming base game and three major content updates.",game
460790,"Action, Adventure",False,Bayonetta,"11 Apr, 2017","The blueprint of serving charisma, unique, nerve, and talent. this is a must play. bayonetta is top 10 most tea games ever and you need to play it idc what they say its NOT a gooner game its much deeper than that and so much more tea. shes for the girls and the gays. <3 This game has such a great combat mechanics, though spams button on the skills - climax pretty annoying if your finger not accustomed. Too bad that i didn't have console with me, sure it recommended with console instead. (keyboard + mouse seems sucks to do each bayonetta skill combo's, unless you have a huge patient with it and challenging yourself-). some crazy cutscene had me blank.. completely missed and yep im cooked, and for the last the map design and colour graphic didn't hurt my eyes, not even a single- DEFINITELLY COULD MANAGE FOR HOURS THOUGH.



yes im skill issue..",0.0,PlatinumGames’ universally acclaimed action masterpiece finally comes to PC. Experience the over-the-top stylish action in 60fps at unlocked HD resolutions. The definitive way to play: being bad never felt so good.,game
1094520,"Adventure, Indie, RPG, Strategy",False,Sands of Salzaar,"15 Dec, 2021",Good show GG ok,1.0,"Bringing you to an exotic desert where you’ll recruit, train, and guide your troops into battle against rival cities and factions. Embark on an adventure that’s uniquely yours; Customizable characters, professions, and factions. The land is filled with a variety of hidden secrets.",game
1167630,"Action, Indie, Simulation, Strategy",False,Teardown,"Apr 21, 2022","would not reccomend it got me addicted gud very explosive buy I like this game, but it has a few flaws that hold it back for me. The mission types in the main story boil down to some simple tasks where you break into a place and either steal or destroy a variety of items. I would say that this game fits perfectly in the sandbox and puzzle game genres. The main problem that I have with it are the timed missions. These will have you doing some task, but on a short timer. I don't think that these are very creative or fun, as the timer is so extremely short that there is only really one right 'answer'. The game engine itself seems capable of tons of creative missions, but they don't actually explore these options and instead make similar missions over and over. ""I need you to break into Y and fetch X. X is attached to an alarm, so when you touch it you have 60 seconds to get all of them across the whole map."" BORING. The other lame mission type is centered around an attack helicopter that follow you the whole mission. It is completely indestructible, even though you have access to a rocket launcher and on one map a literal AA cannon. The helicopter also never loses sight of you, and of course can shoot at and destroy most cover. What I'm saying is that you might as well be fighting God, as the pilot can see you at all times and can't be destroyed or even hindered in any way. These missions aren't really ""hard"" in the traditional way, mostly because of quicksaves, but they also aren't fun. Other than these mission types, the game is fun and the sandbox is a blast, but those missions really do sour the main campaign enough to where I wouldn't recommend.",0.5,Prepare the perfect heist in this simulated and fully destructible voxel world. Tear down walls with vehicles or explosives to create shortcuts. Stack objects to reach higher. Use the environment to your advantage in the most creative way you can think of.,game
231430,Strategy,False,Company of Heroes 2,"25 Jun, 2013","As much as i like the game, the players is not, they did not welcome new player much and often quitting the moment they are teamed up with the new players

Had to use special script just to rebind the camera movement into WASD I LOVE THIS GAME
 Very nice multiplayer game, easy to lose hours....",1.0,"Experience the ultimate WWII RTS platform with COH2 and its standalone expansions. This package includes the base game, which you can then upgrade by purchasing The Western Front Armies, Ardennes Assault and/or The British Forces. More info in the &quot;About This Game&quot; section below.",game
32430,Action,False,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,"15 Dec, 2009","fachero The Force powers feel powerful and satisfying, the story is engaging, and it truly makes you feel like a strong Force user. The atmosphere, music, and overall Star Wars vibe are great, and the Ultimate Sith Edition adds extra content that makes the experience even better. A solid game that’s easy to enjoy, especially if you love Star Wars. A hive of stunlocks and recycled enemies.",1.0,"A game that will show gamers the deepest, darkest side of the Force in a story that puts them on a collision course with Luke Skywalker himself.",game
1623730,"Action, Adventure, Indie, RPG, Early Access",False,Palworld,"18 Jan, 2024","gun GAME IS EVERYTHING POKEMON ISNT ABSOLUETLY AMAZING
 It's got fishing.",0.0,"Fight, farm, build and work alongside mysterious creatures called &quot;Pals&quot; in this completely new multiplayer, open world survival and crafting game!",game
1343370,"Adventure, Massively Multiplayer, RPG, Free To Play",True,Old School RuneScape,"24 Feb, 2021",Its the goat I got my 99 runecrafting!!!! Just a timeless classic.,0.0,"The best retro fantasy MMORPG on the planet. Old School is RuneScape but… older! This is the open world you know and love, but as it was in 2007. Saying that, it’s even better than that – Old School is shaped by you, its players, with regular new content, fixes and expansions voted for by the fans!",game
232890,"Simulation, Strategy",False,Stronghold Crusader 2,"22 Sep, 2014","=)
 The things that made this game great seem to have been forgotten along the way. I grew up playing Stronghold, its a game I grew up playing with my grandpa. Now it seems like a number of key features with a number of bugs really suck the life out of one of my old favorites. FUN GAME NEEDS MORE GRASS",1.0,"Stronghold Crusader 2 is the long awaited sequel to the original castle sim. After 12 years Stronghold returns to the desert with a new 3D engine and powerful Havok Physics. Crusader 2 recaptures the original game’s addictive, fast-paced gameplay and authentic castle simulation.",game
1049410,"Action, Adventure",False,Superliminal,"5 Nov, 2020","It was cool A fun, pretty short game. The game mechanic is fun to mess around with for a while and the story is nice. I would say it's definitely worth buying on sale, especially if you like puzzle games :) lots of puzzles",1.0,"Perception is reality. In this mind-bending first-person puzzler, you escape a surreal dream world through solving impossible puzzles using the ambiguity of depth and perspective.",game
237110,Action,False,Mortal Kombat Komplete Edition,,"Its an exemplary port of the XBOX 360 version of MK9 with all DLC. Worth evry penny. Mortal Kombat (9) Komplete Edition is the game that revived the franchise. Honestly, there's not much more to add: it's simply amazing. Just be aware that some tweaks may be needed to run it on modern operating systems, and that the multiplayer mode is now deserted (servers are basically down). They removed it from the steam store, so thumbs down. This game is for boss's. Warner Bro's Sucks Major Ass for removing it.",0.0,"The newest chapter of the iconic fighting franchise is now available! Experience the deadliest tournament with all the kombatants and their unique fatalities. Players enter the realm to face the Kombatants in Mortal Kombat Komplete Edition, delivering all of the downloadable content (DLC), including intrepid warriors Skarlet, Kenshi and...",game
692850,"Action, Adventure, RPG",False,Bloodstained: Ritual of the Night,"18 Jun, 2019","lili form It's very good. The Castlevania reboot of your dreams.

Bloodstainde: Ritual of the Night is everything Mighty Number 9 wanted to be.  This is a true blue castlevania game, but with a whole new universe to explore and learn about.  This is made by a famous creator who was instrumental in creating the original series this is based on, and this game lives up to all the promises that were made during the kickstarter campaign.

Now, taking the history of this game out of the equation, this is still a fantastic Metroidvania with fun writing, cool levels and map design, awesome abilities, and great controls.  On top of the usual metroidvania abilities and platforming, this game also includes a secondary ability system and an armor/weapon system that's combined with a cosmetics system, so everything you equip can also be seen on your character.  The secondary ability system is similar to the ability system in Castlevania: Aria of Sorrow, where when you kill an enemy, there is a chance you will obtain an equipable ability from them.  This has its pros and cons, as it's great there is so much content, but if you want something particular or to complete everything, you're in for a lot of grinding.

On top of the great main campaign, there are also additional modes to play.  Boss rush, speed-run, and a second campaign where you play as a boss going through the whole game.  There is a LOT of content in this game.

While this IS a great game, it isn't perfect.  The game is obviously lower budget as it doesn't look quite as nice as it could, even for when it came out.  On top of that, the game screen can be a little difficult to read the screen because the foreground (what you can use) and the background (just visuals) are sometimes not as distinct as they could be.  These shouldn't really detract from how great this game is, but every game has it's flaws.

If you want another great metroidvania to play, this is a GREAT option, and the newly announced sequel (as of this writing) it's an even better time to jump on this game.",1.0,"Bloodstained: Ritual of the Night is an exploration-focused, side-scroller action RPG by Koji Igarashi. Play as Miriam, an orphan scarred by an alchemist's curse that slowly crystallizes her body. Battle through a demon-infested castle and defeat its master to save yourself, and all of humanity!",game
254700,"Action, Adventure",False,Resident Evil 4 (2005),"27 Feb, 2014","This is the greatest and best game in the world. The gaming equivalent of the song that Jack and Kyle played for the devil. Hard to play while ovulating the residents in this village are very evil, be careful of them",1.0,(Release: 2014) Special agent Leon S. Kennedy is sent on a mission to rescue the U.S. President’s daughter who has been kidnapped.,game
513710,"アクション, アドベンチャー, インディー, MM（Massively Multiplayer）",False,SCUM,2025年6月17日,"Honestly I am not a gaming type person and this is the first game I downloaded. at first I was not a fan only because it was a lot to learn for a first game. I now have a lot better understanding of how it works and is much more enjoyable now. I don't think ill get board of it any time soon. I love all the updates and cant wait for the update later today, Keep up the great work and thank you to all the developers. Personally I started to believe the developers simply aren't capable of doing more, in this case better, so much time of work for such mediocre results at best. Inventory looks like first year bootcamp game dev project. Another disapointing update i likeyyyyyy",1.0,"Traverse punishing environments, looting, crafting and evading the constant threats to your life. The unprecedented levels of character customization and progression are your ultimate tools for survival.",game
242920,"Indie, Simulation, Strategy",False,Banished,"18 Feb, 2014","entertained me for 10+ years. always fun to come back to it for a little building session. still worth buying in 2025. runs on everything. Interestingly you just provide only the list of tasks/plans. The village decides the priority and how it gets done, so only place what you need when you need it or they'll be running around like chickens with their heads cut off. good idle game to play",1.0,"In this city-building strategy game, you control a group of exiled travelers who decide to restart their lives in a new land. They have only the clothes on their backs and a cart filled with supplies from their homeland. The townspeople of Banished are your primary resource.",game
32370,"Adventure, RPG",False,STAR WARS™ Knights of the Old Republic™,"5 Sep, 2009","Can't believe I never gave this a review before but its a great time coming back to it after so many years, cannot wait for the remake and Fotor. 

If you are looking to play it on modern hardware, it's a real pain to get configured and modded to work in 16:9 or other widescreen ratios (2560x1440 here). But it is really worth it. 

It's so sad that Bioware would rather be woke, pander, and play it safe than write amazing characters and player agency like in the good ole  days. HK47 to this day is still the best droid in all of Star Wars, and Bastilla was one of all of our first video game crushes! 

The combat is still janky, and some of the levels,especially the tutorial planet Taris, can be a slog of backtracking, but its really worth it for the story and characters! 

Fingers crossed that Casey Hudson has a great team around him in his new Edmonton based studio, Nobody expected him to come back for what we now know of as Fotor! If that game turns out to be a massive success, then it should also push Bioware to bet better again in theory with some good ole healthy competition. Arguably the best star wars rpg to date. It's a classic epic of the chosen one with a dark twist.

One of the earliest games to provide player agency i. the story. it's also one of the few games where it's actually fun to play on the dark side. You get to choose between a story of love and redemption and a play on the original trilogy for the light side or an epic power fantasy for the dark side.

It's one of the few games where I actually enjoy the renegade/dark side playthrough.

The game reacts to your choices and provides a 6 classes, loosely based in a warrior, mage or a hybrid between the two. 

The companions make this game and the world building is arguably the best i. terms of star wars games. An absolute must buy for any star wars fan. amazing star wars rpg",1.0,It is four thousand years before the Galactic Empire and hundreds of Jedi Knights have fallen in battle against the ruthless Sith. You are the last hope of the Jedi Order. Can you master the awesome power of the Force on your quest to save the Republic? Or will you fall to the lure of the dark side?,game
3070070,"Simulation, Early Access",False,TCG Card Shop Simulator,"15 Sep, 2024","I didnt think that i would fall in love with this game. As a active card collector this game is AMAZING mid ahh game Addicting nice shop sim
",1.0,"Open your own local game store. Stock shelves with the latest booster packs, or crack them and collect the cards for yourself. Set your own prices, hire staff, host events, and expand your card shop.",game
1903340,"Action, RPG",False,Clair Obscur: Expedition 33,"24 Apr, 2025",". tunning graphics, engaging storyline Katharsis as gameplay",0.0,Lead the members of Expedition 33 on their quest to destroy the Paintress so that she can never paint death again. Explore a world of wonders inspired by Belle Époque France and battle unique enemies in this turn-based RPG with real-time mechanics.,game
203160,"Action, Adventure",False,Tomb Raider Game of the Year,"4 Mar, 2013","git good game very good story game
",1.0,Tomb Raider explores the intense origin story of Lara Croft and her ascent from a young woman to a hardened survivor.,game
444640,"Action, Free To Play, Strategy",True,Bloons TD Battles,"20 Apr, 2016","This is one of the greatest games to exist. I used to play this on their website back in 2010-2013 and it was still way ahead of it's time. It's a really simple GUI and layout but doesn't really get repetitive until thousands and thousands of hours. The game is action-packed and very strategic. I recommend everyone to try all their games such as BTD3,4,5,6 and others. Overall 10/10 game (better than btd battles 2 100% if u played it before yk). An absolute staple in the industry. However there is the second one so might as well just play that one homie. better than battles 2 you don't have 2 feel being stepped on the liver if you lose",1.0,"Go head to head with other players in a Bloon-popping battle for victory. From the creators of best-selling Bloons TD 5, this all new Battles game is specially designed for multiplayer combat, featuring the ability to control bloons directly and send them charging past your opponent's defenses.",game
1150690,"Adventure, Indie, RPG",False,OMORI,"25 Dec, 2020",Genuinely life-changing oyasumi peak,0.0,"Explore a strange world full of colorful friends and foes. When the time comes, the path you’ve chosen will determine your fate... and perhaps the fate of others as well.",game
